INSPECCION,MATRICULA,F.MATRIC.,MARCA Y MODELO,BASTIDOR,GRUP,TIP,F,F.INSPEC.,L,I.1,M.1,I.2,M.2,I.3,M.3,I.4,M.4,RESUL.,F.VALIDEZ,DEFEC.
160839764/2016,TO-9267-M,07/07/1989,FORD TRANSIT,WF0CXXGBVCKJ06523,2011,001,1,01/08/2016,2,002,14,002,16,006,17,001,21,FAVOR.,01/02/2017,['']
160839765/2016,5893-HYV,07/08/2014,MFTBC CANTER,TYBFEA51CLDY01768,2114,001,1,01/08/2016,2,002,14,001,16,006,17,001,21,DF.LEV,01/08/2017,"['0405-L', '0407-L', '0415-L']"
160839766/2016,8312-DGM,18/02/2005,SEAT IBIZA 1.9 TDI 4P,VSSZZZ6LZ5R131540,1000,001,1,01/08/2016,1,003,14,001,12,006,17,010,22,DESFA.,00/00/0000,['0803-G']
160839767/2016,4833-DPJ,31/08/2005,OPEL ASTRA,W0L0AHL4858092333,1000,001,1,01/08/2016,1,003,14,001,12,006,17,010,22,FAVOR.,01/08/2017,['']
160839768/2016,5252-CSN,26/02/2004,CITROEN XSARA PICASSO,VF7CHRHYB39642648,1000,001,1,01/08/2016,1,003,14,002,12,006,17,010,22,DF.LEV,01/08/2017,['0205-L']
160839769/2016,1160-HLR,18/07/2012,MERCEDES-BENZ C 200 CDI,WDD2040011A755141,1000,001,1,01/08/2016,1,003,14,002,12,006,17,010,22,FAVOR.,01/08/2018,['']
160839770/2016,TO-6960-AD,24/09/1999,CITROEN C-15 D,VF7VDPG0014PG5502,3100,002,2,01/08/2016,1,003,999,,,,,,,DF.LEV,01/02/2017,['0405-L']
160839771/2016,7967-BDG,19/12/2000,NISSAN ATLEON,VWANBFTK0Y1504185,2014,001,1,01/08/2016,2,003,14,001,16,006,17,001,21,DF.LEV,01/02/2017,"['0205-L', '0406-L', '0407-L', '0409-L']"
160839772/2016,3255-CLB,30/07/2003,CITROEN XSARA 20HDI,VF7N1RHYB73774210,1000,002,2,01/08/2016,1,003,999,006,999,,,,,DF.LEV,01/08/2017,['0401-L']
160839773/2016,0520-FDT,03/08/2006,BMW 120,WBAUG51030PV16253,1000,001,1,01/08/2016,1,003,14,002,12,006,17,010,22,FAVOR.,01/08/2017,['']
160839774/2016,TO-9938-AD,18/11/1999,SEAT IBIZA 1.4 5V 3P,VSSZZZ6KZXR448869,1000,002,2,01/08/2016,1,003,999,,,,,,,FAVOR.,01/08/2017,['']
160839775/2016,5970-DZB,04/05/2006,BMW 320D,WBAAS71040CH12029,1000,001,1,01/08/2016,1,003,14,001,12,006,17,010,22,DF.LEV,01/08/2017,['0406-L']
160839776/2016,2945-CVF,20/04/2004,PEUGEOT 407 ST,VF36DRHRH21018057,1000,001,1,01/08/2016,1,003,14,001,12,006,17,010,22,DF.LEV,01/08/2017,"['0202-L', '0402-L', '0403-L', '0405-L', '0407-L', '0410-L']"
160839777/2016,1047-GGY,07/08/2008,AUDI A4,WAUZZZ8K39N006783,1000,001,1,01/08/2016,1,003,14,001,12,006,17,010,22,FAVOR.,01/08/2018,['']
160839778/2016,2993-FDF,24/07/2006,MERCEDES BENZ C 200 CDI,WDB2030071A923006,1000,001,1,01/08/2016,1,003,14,001,12,006,17,010,22,FAVOR.,01/08/2017,['']
160839779/2016,6968-CKZ,30/07/2003,FORD MONDEO,WF05XXGBB53D19753,1000,001,1,01/08/2016,1,002,14,001,12,006,17,010,22,DESFA.,00/00/0000,['0803-G']
160839780/2016,2888-HLY,10/08/2012,AUDI A4 LIMOUSINE,WAUZZZ8K7DA012456,1000,001,1,01/08/2016,1,002,14,001,12,006,17,010,22,FAVOR.,01/08/2018,['']
160839781/2016,9771-FDS,03/08/2006,RENAULT MEGANE SCENIC,VF1JMS40636256528,1000,002,2,01/08/2016,1,002,999,,,,,,,FAVOR.,03/08/2017,['']
160839782/2016,7895-BLV,23/07/2001,CITROEN XSARA PICASSO,VF7CHRHYB38964029,1000,001,1,02/08/2016,1,003,14,001,12,008,17,006,22,DF.LEV,02/08/2017,['0202-L']
160839783/2016,4435-DNW,09/08/2005,TOYOTA PRIUS,JTDKB20UX03078768,1000,001,1,02/08/2016,1,003,14,001,12,008,17,006,22,DF.LEV,02/08/2017,['0406-L']
